area trstprl trstlgl trstplt trstep trstun euftf imueclt imwbcnt
W 2 2 4 4 5 2 6 5
W 6 6 6 7 7 6 5 4
W 2 6 5 6 3 8 3 5
W 5 5 4 5 5 6 4 5
W 10 7 4 10 9 10 10 5
W 7 8 7 8 6 5 6 8
W 6 4 6 7 7 5 8 7
W 4 6 4 4 4 8 8 5
W 6 8 6 8 6 8 8 5
W 6 5 7 7 6 3 7 4
W 6 7 4 6 8 7 3 3
W 10 1 10 6 6 6 3 3
W 4 4 3 3 3 6 6 5
W 4 4 3 5 4 5 8 5
W 3 8 3 6 8 8 2 2
W 5 3 5 3 7 4 0 0
W 6 7 4 5 5 6 5 2
W 3 5 3 3 4 5 6 5
W 6 8 4 8 9 3 3 3
W 4 6 5 7 6 5 6 4
W 7 8 6 8 6 7 7 8
W 3 7 5 7 6 8 5 5
W 7 4 7 7 7 4 7 6
W 5 6 5 6 6 7 5 3
W 4 4 4 5 5 8 8 7
W 4 5 5 5 5 6 7 6
W 5 8 5 7 6 8 8 5
W 6 4 5 7 5 9 8 5
W 8 2 5 7 7 6 6 7
W 3 4 2 4 4 4 7 4
W 5 7 7 7 7 2 7 5
W 3 5 5 3 5 4 4 4
W 6 8 6 7 5 7 4 9
W 6 4 2 5 6 4 6 4
W 3 6 6 6 6 5 4 6
W 6 6 6 5 6 8 5 5
W 2 6 2 4 7 4 5 5
W 5 5 5 4 5 4 8 4
W 5 6 6 7 8 6 7 5
W 5 5 6 7 5 6 5 7
W 3 5 3 3 3 5 7 7
W 6 6 5 6 5 3 8 3
W 3 3 2 2 3 1 6 3
W 7 7 5 8 8 7 8 5
W 5 8 6 7 7 8 1 4
W 7 5 6 6 6 5 7 5
W 5 7 4 6 5 7 7 7
W 0 3 5 3 3 5 5 6
W 6 7 6 8 8 9 9 8
W 5 8 6 7 8 8 6 5
W 7 5 7 7 7 4 5 4
W 0 5 3 0 3 5 5 5
W 4 3 4 6 6 6 7 5
W 8 6 7 8 4 7 8 5
W 2 3 3 5 3 3 5 3
W 2 5 3 3 5 5 1 3
W 4 5 4 4 4 8 8 5
W 6 4 3 6 5 9 4 4
W 6 9 2 8 8 3 5 3
W 3 7 7 8 8 5 5 3
W 4 4 5 5 5 4 6 4
W 6 3 5 7 8 6 2 5
W 7 5 7 8 8 3 3 4
W 6 6 6 6 7 7 6 5
W 6 7 6 8 8 6 2 3
W 5 6 4 6 6 7 7 6
W 2 3 3 2 2 5 5 4
W 5 3 6 5 6 3 7 5
W 3 5 2 5 2 3 6 3
W 7 5 7 7 6 8 8 7
W 8 7 5 8 7 5 7 5
W 5 7 4 6 4 7 4 6
W 4 5 5 5 5 7 7 6
W 6 5 4 7 6 6 5 8
W 5 5 4 5 6 5 6 5
W 8 6 6 7 7 8 7 6
W 5 5 5 6 6 5 7 7
W 5 6 5 6 6 5 7 1
W 1 1 1 1 1 2 2 3
W 2 5 3 5 2 2 7 5
W 7 4 5 7 6 8 9 8
W 5 4 5 6 8 7 8 6
W 3 3 3 5 5 3 5 5
W 7 6 6 6 6 8 8 5
W 6 7 7 6 4 9 7 6
W 6 4 5 6 7 6 6 5
W 6 7 6 7 8 7 7 4
W 5 5 5 5 5 7 7 6
W 3 5 2 2 2 5 5 5
W 4 5 6 6 6 6 6 6
W 6 5 6 6 7 7 5 5
W 4 5 4 4 2 5 5 7
W 4 7 7 7 7 5 5 5
W 8 5 5 5 5 7 5 5
W 5 8 5 7 5 5 6 7
