cntry	trstprl	trstlgl	trstplt	trstprt	trstep	trstun	lrscale	euftf	imbgeco	imueclt	imwbcnt
BE	4.6303225806	4.9761290323	4.0864516129	4.0258064516	5.2051612903	5.3438709677	4.915483871	5.3922580645	4.8490322581	5.8935483871	4.9341935484
BG	1.9560693642	2.2612716763	1.7132947977	1.8774566474	4.8023121387	5.0404624277	5.1676300578	7.0231213873	5.4219653179	5.6705202312	5.6346820809
CH	5.7974481659	6.3301435407	4.8859649123	4.6323763955	4.7551834131	5.5031897927	4.9250398724	5.1858054226	6.206539075	6.2519936204	5.5781499203
CY	5.5689223058	6.3370927318	4.469924812	4.3458646617	6.0601503759	4.8320802005	5.2656641604	5.8909774436	4.6804511278	4.1754385965	4.6954887218
CZ	3.2724738676	4.1470383275	2.6891986063	2.8306620209	3.9853658537	4.8710801394	5.5156794425	5.0348432056	4.2710801394	4.4912891986	4.4097560976
DE	4.701968135	5.7089971884	3.5773195876	3.511715089	4.3181818182	5.0595126523	4.5337394564	5.2792877226	5.247891284	6.1518275539	5.148547329
DK	6.6346604215	7.3489461358	5.6955503513	5.7736143638	5.1022638564	6.5230288837	5.3130366901	5.7174082748	5.4285714286	6.1342701015	5.8360655738
EE	4.1547131148	5.1526639344	3.4907786885	3.4590163934	5.1352459016	5.3801229508	5.362704918	5.4856557377	4.7459016393	5.3893442623	4.5891393443
ES	5.0969044415	4.3660834455	3.5847913863	3.5619111709	5.1083445491	5.1238223419	4.5309555855	5.4623149394	5.3882907133	5.8990578735	5.0921938089
FI	6.0805369128	7.1853381518	4.9184305627	5.0175529169	5.2059886422	6.7093443469	5.7315436242	4.5436241611	5.6215797625	7.3711925658	5.6004130098
FR	4.5302089215	5.025974026	3.5409373235	3.3833992095	4.5934500282	5.2659514399	4.7916431395	5.0124223602	4.9175607002	5.5386787126	4.7684923772
GB	4.3415041783	5.191643454	3.5961002786	3.6406685237	3.5415041783	5.0573816156	5.0445682451	4.113091922	4.7264623955	4.9598885794	4.6161559889
GR	3.6149696561	4.7680377613	2.4693189481	2.5650708024	4.3196223871	3.9858395145	5.093054619	5.3297370196	3.5300067431	3.5192178018	3.2555630479
HR	3.0596273292	3.1565217391	2.1850931677	2.4670807453	3.7590062112	4.1838509317	5.2782608696	5.7068322981	4.3652173913	5.0397515528	4.7900621118
HU	2.8072445019	3.9702457956	2.0983182406	2.2445019405	4.4372574386	4.9844760673	5.7477360931	5.2432082794	3.9003880983	5.1539456662	3.9495472186
IL	3.9831261101	5.6429840142	3.039964476	3.2619893428	4.2380106572	4.0692717584	5.756660746	5.3765541741	5.2131438721	5.6447602131	5.4325044405
LV	2.0888157895	4.0773026316	1.8651315789	1.8330592105	4.1101973684	4.7549342105	5.6143092105	4.765625	4.1784539474	4.6644736842	4.1570723684
NL	5.5883561644	5.9609589041	5.2260273973	5.201369863	5.0876712329	5.602739726	5.1184931507	5.6383561644	5.4226027397	6.1924657534	5.2410958904
NO	5.8696664081	6.8262218774	4.7005430566	4.8223429015	4.9914662529	6.8013964313	5.3374709077	4.9394879752	5.8215671063	5.9914662529	5.3731574864
PL	3.1832512315	3.960591133	2.39408867	2.5142857143	4.7389162562	5.3162561576	5.7684729064	6.5674876847	5.7024630542	6.5477832512	6.036453202
PT	3.9594594595	4.027027027	2.8947876448	2.9401544402	4.6554054054	5.166988417	4.722007722	5.2683397683	5.1959459459	5.7635135135	4.5685328185
RO	4.0195694716	4.0655577299	3.2681017613	3.4168297456	5.6839530333	5.8297455969	5.6281800391	7.366927593	5.5489236791	5.5939334638	5.35518591
RU	4.1	4.2348314607	3.5528089888	3.4573033708	4.1393258427	4.204494382	5.504494382	5.4269662921	4.2752808989	3.8426966292	3.6876404494
SE	5.9399421129	6.2047756874	4.7655571635	4.9052098408	4.7445730825	6.477568741	5.1295224313	5.0672937771	5.6418234443	7.1512301013	6.3697539797
SI	4.6017262639	4.4241676942	3.5918618989	3.6226880395	5.065351418	5.2108508015	4.6461159063	5.6239210851	4.6646115906	5.2182490752	4.6202219482
SK	4.2167577413	4.2131147541	3.7349726776	3.737704918	5.2577413479	5.3998178506	4.8142076503	5.7395264117	4.4262295082	5.1994535519	4.5892531876
TR	5.6445603577	5.9649776453	2.8114754098	2.8189269747	3.2138599106	3.0454545455	5.7459016393	5.4694485842	3.6497764531	3.9061102832	3.6788375559
UA	1.9064748201	1.8758992806	1.5809352518	1.7248201439	3.8255395683	3.8021582734	5.4568345324	5.7985611511	4.2589928058	4.3866906475	4.1384892086
