County VOTE NO.High.School Graduate White African.American Asian.American Latino Children.Poverty Adults.Poverty Uninsured Unemployment
Clarke TRUMP 24.9 1.9 63.65 34.85 0.35 0.55 32.35 21.7 0.224 0.111
Montgomery TRUMP 25.4 3.2 52.85 45.4 0.35 0.6 46.5 18.85 0.202 0.119
Panola TRUMP 27.6 4 49.45 48.05 0.15 1.4 43.35 23.4 0.207 0.115
Tate TRUMP 20.3 5 66.3 30.25 0.3 1.8 34.7 12.05 0.205 0.097
Yazoo CLINT 26.4 3.7 37.65 57.35 0.25 3.35 48.25 25.4 0.2 0.114
Harrison TRUMP 16.5 7.4 67.6 22 2.9 4.6 25 9.6 0.225 0.086
Amite TRUMP 26 3.1 56 42.45 0.1 0.65 49.8 20.85 0.242 0.104
Coahoma CLINT 25.8 3.8 23.15 74.55 0.25 1.3 60.95 22.85 0.192 0.128
Covington TRUMP 21.2 4.1 62.2 35.05 0.4 1.5 39.3 24.3 0.226 0.08
Lowndes TRUMP 19.5 7.4 53.65 42.95 0.7 1.6 36.6 14.25 0.195 0.096
Tunica CLINT 27.6 3.7 23.8 71.9 0.6 2.75 54.55 19.9 0.179 0.151
Forrest TRUMP 15.8 10.8 59.25 35.65 1.05 2.85 39.45 11.1 0.216 0.086
Clay CLINT 21.6 6.8 40.7 57.3 0.2 0.6 46.8 18.45 0.215 0.168
DeSoto TRUMP 12.6 6.2 72 20.6 1.15 4.6 15 7.1 0.173 0.068
Tippah TRUMP 27.4 3.9 77.7 15.85 0.1 4.75 32.15 14.65 0.23 0.109
Winston TRUMP 21.7 5.6 51.95 45.95 0.1 0.65 43.85 14.85 0.228 0.124
Yalobusha TRUMP 24.6 5.1 59.6 38.8 0.1 1 45.95 15 0.206 0.096
Franklin TRUMP 21.6 1.8 62.9 36.15 0.2 0.35 35.9 9.25 0.217 0.101
Tallahatchie CLINT 34.5 2 37.2 56.95 0.55 4.65 49.5 31.3 0.219 0.114
Wilkinson CLINT 31.1 2.9 29.05 69.7 0.05 0.55 49.6 14.2 0.217 0.112
Alcorn TRUMP 22.9 4.5 84.95 11.45 0.25 2.45 29.4 13.75 0.207 0.09
Chickasaw TRUMP 28.2 3.4 53.55 41.05 0.25 3.95 46.6 17.95 0.225 0.11
Claiborne CLINT 16.4 8.9 14.2 84.55 0.25 0.45 52.4 25.95 0.216 0.13
Copiah CLINT 23.5 4.7 45.9 50.8 0.4 2.2 33 15.05 0.215 0.102
Itawamba TRUMP 28.6 5.3 91.3 6.3 0.25 1.25 25.75 18 0.199 0.091
Lauderdale TRUMP 18.4 6.7 55 41.75 0.7 1.75 42.65 13.4 0.192 0.094
Quitman CLINT 36.4 3.2 29.1 69.6 0.15 0.65 58.25 23.4 0.22 0.127
Sunflower CLINT 30.2 3.5 25.5 72.05 0.3 1.6 48.3 32.85 0.215 0.146
Wayne TRUMP 27.2 3.9 59.6 38.4 0.2 0.8 33.15 20.5 0.222 0.112
Rankin TRUMP 12.6 8.7 76.45 19 1.05 2.4 16.05 6.9 0.16 0.057
